Comparison_Type,Image_Name,SSIM,PSNR,MSE
Baseline_Akoya_vs_KFBio,P7834_A11,0.21685491502285004,7.723221778869629,0.16891875863075256
Trans_KFBio2Akoya,P7834_A11,0.26959455013275146,6.674961090087891,0.2150324285030365
Trans_Akoya2KFBio,P7834_A11,0.19525361061096191,8.066882133483887,0.15606725215911865
Baseline_Akoya_vs_KFBio,P8121_A15,0.31381091475486755,8.285094261169434,0.1484193652868271
Trans_KFBio2Akoya,P8121_A15,0.3342227339744568,7.8531174659729,0.16394126415252686
Trans_Akoya2KFBio,P8121_A15,0.30707648396492004,8.798086166381836,0.13188375532627106
Baseline_Akoya_vs_KFBio,P8222_A13,0.24830298125743866,6.042530536651611,0.2487407624721527
Trans_KFBio2Akoya,P8222_A13,0.2927980422973633,4.956084251403809,0.31944167613983154
Trans_Akoya2KFBio,P8222_A13,0.22588209807872772,6.3588690757751465,0.23126667737960815
Baseline_Akoya_vs_KFBio,P8274_A21,0.23772543668746948,7.36160945892334,0.18358579277992249
Trans_KFBio2Akoya,P8274_A21,0.26846203207969666,7.043889999389648,0.19751998782157898
Trans_Akoya2KFBio,P8274_A21,0.21692770719528198,7.970294952392578,0.15957708656787872
Baseline_Akoya_vs_KFBio,P8355_A16,0.20794904232025146,7.32858419418335,0.1849871724843979
Trans_KFBio2Akoya,P8355_A16,0.24025365710258484,6.790471076965332,0.20938852429389954
Trans_Akoya2KFBio,P8355_A16,0.1925232708454132,8.100095748901367,0.15487824380397797
Baseline_Akoya_vs_KFBio,P8376_A11,0.446327269077301,6.079977989196777,0.24660520255565643
Trans_KFBio2Akoya,P8376_A11,0.45857298374176025,5.690919876098633,0.2697167992591858
Trans_Akoya2KFBio,P8376_A11,0.43228262662887573,6.716425895690918,0.21298909187316895
Baseline_Akoya_vs_KFBio,P8388_A16,0.2907412052154541,7.600508213043213,0.17375975847244263
Trans_KFBio2Akoya,P8388_A16,0.344210147857666,6.605964660644531,0.21847587823867798
Trans_Akoya2KFBio,P8388_A16,0.27481651306152344,8.007735252380371,0.15820729732513428
Baseline_Akoya_vs_KFBio,P8460_C18,0.28838008642196655,6.670429706573486,0.21525689959526062
Trans_KFBio2Akoya,P8460_C18,0.32015058398246765,6.243646621704102,0.23748454451560974
Trans_Akoya2KFBio,P8460_C18,0.2652961313724518,6.995293617248535,0.19974260032176971
Baseline_Akoya_vs_KFBio,P8539_A19,0.2674293518066406,8.318450927734375,0.14728379249572754
Trans_KFBio2Akoya,P8539_A19,0.307827353477478,7.951845645904541,0.16025643050670624
Trans_Akoya2KFBio,P8539_A19,0.24113434553146362,8.742671966552734,0.13357733190059662
Baseline_Akoya_vs_KFBio,P8573_A18,0.2548169493675232,6.933373928070068,0.2026108205318451
Trans_KFBio2Akoya,P8573_A18,0.2797963619232178,6.5431742668151855,0.22165760397911072
Trans_Akoya2KFBio,P8573_A18,0.22309139370918274,7.195616722106934,0.1907384842634201
Baseline_Akoya_vs_KFBio,P8606_A9,0.22580838203430176,8.641324043273926,0.13673119246959686
Trans_KFBio2Akoya,P8606_A9,0.28616446256637573,8.507112503051758,0.14102260768413544
Trans_Akoya2KFBio,P8606_A9,0.1824009120464325,8.951269149780273,0.12731312215328217
Baseline_Akoya_vs_KFBio,P8676_A31,0.22351276874542236,7.97076416015625,0.15955984592437744
Trans_KFBio2Akoya,P8676_A31,0.2635156214237213,7.771287441253662,0.1670595407485962
Trans_Akoya2KFBio,P8676_A31,0.20720714330673218,8.658363342285156,0.13619577884674072
Baseline_Akoya_vs_KFBio,P8679_A18,0.2740823030471802,6.283044815063477,0.23533987998962402
Trans_KFBio2Akoya,P8679_A18,0.2945224642753601,5.4076385498046875,0.28789636492729187
Trans_Akoya2KFBio,P8679_A18,0.2635246515274048,6.846388816833496,0.2067098617553711
Baseline_Akoya_vs_KFBio,P8764_A16,0.24306105077266693,7.855055809020996,0.16386811435222626
Trans_KFBio2Akoya,P8764_A16,0.2791236340999603,7.6151838302612305,0.17317359149456024
Trans_Akoya2KFBio,P8764_A16,0.22861668467521667,8.377354621887207,0.14529964327812195
Baseline_Akoya_vs_KFBio,P8811_D14,0.21648100018501282,5.8487396240234375,0.2600914239883423
Trans_KFBio2Akoya,P8811_D14,0.23107600212097168,5.358362197875977,0.2911815047264099
Trans_Akoya2KFBio,P8811_D14,0.208823561668396,6.370036602020264,0.23067276179790497
Baseline_Akoya_vs_KFBio,P8841_A18,0.2784208059310913,6.345885276794434,0.23195914924144745
Trans_KFBio2Akoya,P8841_A18,0.30703896284103394,5.405941486358643,0.2880088984966278
Trans_Akoya2KFBio,P8841_A18,0.25172778964042664,6.35765266418457,0.2313314974308014
Baseline_Akoya_vs_KFBio,P8845_A12,0.2755138874053955,9.368368148803711,0.11565466970205307
Trans_KFBio2Akoya,P8845_A12,0.30999767780303955,9.142240524291992,0.1218360885977745
Trans_Akoya2KFBio,P8845_A12,0.2462262511253357,9.89721393585205,0.1023949682712555
Baseline_Akoya_vs_KFBio,P8845_A15,0.25894221663475037,6.937506198883057,0.20241813361644745
Trans_KFBio2Akoya,P8845_A15,0.28717800974845886,4.966246604919434,0.3186950981616974
Trans_Akoya2KFBio,P8845_A15,0.2533612847328186,7.097022533416748,0.19511818885803223
Baseline_Akoya_vs_KFBio,P8905_A18,0.17556163668632507,7.433607578277588,0.18056738376617432
Trans_KFBio2Akoya,P8905_A18,0.2174440622329712,7.29371976852417,0.18647818267345428
Trans_Akoya2KFBio,P8905_A18,0.1566765010356903,8.472890853881836,0.14213824272155762
Baseline_Akoya_vs_KFBio,P8940_A18,0.27747321128845215,6.282186031341553,0.2353864163160324
Trans_KFBio2Akoya,P8940_A18,0.2877872586250305,5.908015251159668,0.2565656304359436
Trans_Akoya2KFBio,P8940_A18,0.2580510079860687,6.500424861907959,0.22385025024414062
Baseline_Akoya_vs_KFBio,P9019_A12,0.25163382291793823,8.15675163269043,0.15287089347839355
Trans_KFBio2Akoya,P9019_A12,0.2813602387905121,7.839880466461182,0.16444170475006104
Trans_Akoya2KFBio,P9019_A12,0.22579586505889893,8.754398345947266,0.13321715593338013
Baseline_Akoya_vs_KFBio,P9051_C8,0.28804147243499756,8.079204559326172,0.15562507510185242
Trans_KFBio2Akoya,P9051_C8,0.3192581832408905,8.019229888916016,0.15778911113739014
Trans_Akoya2KFBio,P9051_C8,0.2385268211364746,8.375251770019531,0.1453700065612793
Baseline_Akoya_vs_KFBio,P9099_D18,0.19274970889091492,7.86344575881958,0.16355183720588684
Trans_KFBio2Akoya,P9099_D18,0.24178969860076904,7.350046157836914,0.184075266122818
Trans_Akoya2KFBio,P9099_D18,0.1851072758436203,8.746088027954102,0.13347230851650238
Baseline_Akoya_vs_KFBio,P9197_A21,0.221788689494133,8.251102447509766,0.14958560466766357
Trans_KFBio2Akoya,P9197_A21,0.2663133144378662,7.939234733581543,0.16072243452072144
Trans_Akoya2KFBio,P9197_A21,0.19251030683517456,9.235419273376465,0.11924993991851807
Baseline_Akoya_vs_KFBio,P9229_A14,0.29590532183647156,6.357537269592285,0.23133760690689087
Trans_KFBio2Akoya,P9229_A14,0.3061753809452057,5.368640422821045,0.2904932200908661
Trans_Akoya2KFBio,P9229_A14,0.2855820655822754,6.8497700691223145,0.20654897391796112
Baseline_Akoya_vs_KFBio,P9235_A8,0.5740640163421631,6.988757133483887,0.2000434398651123
Trans_KFBio2Akoya,P9235_A8,0.5761560797691345,5.538149833679199,0.2793733477592468
Trans_Akoya2KFBio,P9235_A8,0.5738930106163025,7.068697929382324,0.1963949203491211
Baseline_Akoya_vs_KFBio,P9417_A19,0.18762928247451782,6.545458793640137,0.22154101729393005
Trans_KFBio2Akoya,P9417_A19,0.22336480021476746,6.187689781188965,0.240564227104187
Trans_Akoya2KFBio,P9417_A19,0.17283505201339722,7.348415851593018,0.18414437770843506
Baseline_Akoya_vs_KFBio,P9477_A20,0.17685680091381073,6.314663887023926,0.23363272845745087
Trans_KFBio2Akoya,P9477_A20,0.20170998573303223,5.436039924621582,0.2860197424888611
Trans_Akoya2KFBio,P9477_A20,0.17122367024421692,6.699676036834717,0.21381217241287231
Baseline_Akoya_vs_KFBio,P9501_A19,0.2337317317724228,6.543154239654541,0.2216586172580719
Trans_KFBio2Akoya,P9501_A19,0.2820170223712921,5.7518486976623535,0.2659592628479004
Trans_Akoya2KFBio,P9501_A19,0.2057463377714157,6.888232707977295,0.20472775399684906
Baseline_Akoya_vs_KFBio,P9568_A9,0.25012364983558655,6.213901519775391,0.23911666870117188
Trans_KFBio2Akoya,P9568_A9,0.2791951298713684,5.500885963439941,0.28178083896636963
Trans_Akoya2KFBio,P9568_A9,0.23569846153259277,6.735213279724121,0.21206972002983093
Baseline_Akoya_vs_KFBio,P9595_A19,0.3359074294567108,8.75601577758789,0.133167564868927
Trans_KFBio2Akoya,P9595_A19,0.3845953345298767,8.234434127807617,0.15016081929206848
Trans_Akoya2KFBio,P9595_A19,0.2841126322746277,8.99416732788086,0.12606173753738403
Baseline_Akoya_vs_KFBio,P9611_A23,0.24934999644756317,7.64013671875,0.17218145728111267
Trans_KFBio2Akoya,P9611_A23,0.2938249111175537,7.105843544006348,0.1947222799062729
Trans_Akoya2KFBio,P9611_A23,0.20828738808631897,8.046124458312988,0.15681499242782593
Baseline_Akoya_vs_KFBio,P9654_A18,0.34920233488082886,6.535913467407227,0.2220284789800644
Trans_KFBio2Akoya,P9654_A18,0.375335693359375,5.678786754608154,0.27047139406204224
Trans_Akoya2KFBio,P9654_A18,0.33676260709762573,6.817933082580566,0.2080686390399933
Baseline_Akoya_vs_KFBio,P9659_D15,0.17181530594825745,6.30263090133667,0.23428094387054443
Trans_KFBio2Akoya,P9659_D15,0.19539421796798706,5.470892906188965,0.2837335765361786
Trans_Akoya2KFBio,P9659_D15,0.15912291407585144,6.688257217407227,0.21437504887580872
Baseline_Akoya_vs_KFBio,P9662_C14,0.2133612036705017,7.214629650115967,0.18990527093410492
Trans_KFBio2Akoya,P9662_C14,0.25567036867141724,5.987581729888916,0.25190794467926025
Trans_Akoya2KFBio,P9662_C14,0.2061837762594223,7.585744380950928,0.17435145378112793
Baseline_Akoya_vs_KFBio,P9746_A13,0.26194462180137634,8.734415054321289,0.13383156061172485
Trans_KFBio2Akoya,P9746_A13,0.2922392785549164,8.42439079284668,0.14373448491096497
Trans_Akoya2KFBio,P9746_A13,0.24567294120788574,9.437726974487305,0.11382229626178741
Baseline_Akoya_vs_KFBio,P9749_A17,0.20558831095695496,7.466605186462402,0.17920061945915222
Trans_KFBio2Akoya,P9749_A17,0.2298208773136139,7.291692733764648,0.18656525015830994
Trans_Akoya2KFBio,P9749_A17,0.19059167802333832,7.901185035705566,0.1621367633342743
Baseline_Akoya_vs_KFBio,P9758_C11,0.2813398540019989,10.124382972717285,0.09717660397291183
Trans_KFBio2Akoya,P9758_C11,0.33421796560287476,10.85751724243164,0.08208206295967102
Trans_Akoya2KFBio,P9758_C11,0.25546085834503174,11.260717391967773,0.07480459660291672
Baseline_Akoya_vs_KFBio,P9819_C19,0.24956229329109192,8.606985092163086,0.13781659305095673
Trans_KFBio2Akoya,P9819_C19,0.31973811984062195,8.209094047546387,0.15103952586650848
Trans_Akoya2KFBio,P9819_C19,0.22435399889945984,9.587959289550781,0.10995223373174667
